"param_index","mean_tau_avg","mean_tau_sd","overall_sd_tau","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"1079",0.531004820207297,0.292331655534481,1.55968856682331,-0.647087839803159,3.38046877713973,TRUE,TRUE,250
"108",0.543285956120368,0.26653790934951,1.54605691998389,-0.654458915791366,3.36741711727884,TRUE,TRUE,250
"1080",0.537539019424515,0.308894628643879,1.55572845470841,-0.634826982725581,3.37603411377495,TRUE,TRUE,250
"1081",0.540458378200803,0.302393649963433,1.55603536329547,-0.629521878184858,3.38307277077709,TRUE,TRUE,250
"1082",0.539575266613113,0.30611050389117,1.54827180374472,-0.661322870216575,3.35224529500899,TRUE,TRUE,250
"1083",0.540492656830085,0.307780002268543,1.54040462243568,-0.653640683654498,3.34898598572792,TRUE,TRUE,250
"1084",0.530751448639116,0.294220877251993,1.54082711119566,-0.674616554059757,3.33937668884938,TRUE,TRUE,250
"1085",0.545288662783837,0.298204490983764,1.54386016943106,-0.63791897683656,3.36487510714729,TRUE,TRUE,250
"1086",0.542246025846324,0.292753210142937,1.54033886283247,-0.652069855028508,3.35855003582939,TRUE,TRUE,250
"1087",0.550942240045755,0.286241940576315,1.53310204161345,-0.636882225742232,3.34836305112921,TRUE,TRUE,250
"1088",0.543492827224383,0.281196072342605,1.55090838924236,-0.652287589659195,3.37335420952348,TRUE,TRUE,250
"1089",0.551223207638144,0.279547455939007,1.55138558552424,-0.634279517663913,3.38337144589283,TRUE,TRUE,250
"109",0.541644058854496,0.25701738515431,1.53175378429004,-0.63785611692902,3.34723719420886,TRUE,TRUE,250
"1090",0.555015246599015,0.277407378604214,1.56399694065885,-0.645364120555619,3.40847989277629,TRUE,TRUE,250
"1091",0.554484666487188,0.278422288086867,1.5610991664867,-0.654222555711176,3.40565524290654,TRUE,TRUE,250
"1092",0.54995354543822,0.274497918028875,1.55752367999061,-0.655477025538802,3.39402828514101,TRUE,TRUE,250
"1093",0.543653679996485,0.282375495365867,1.55755618085371,-0.66520362801041,3.38773240107885,TRUE,TRUE,250
"1094",0.541238299335311,0.278592921148414,1.54943246674678,-0.641555430605379,3.37734732303302,TRUE,TRUE,250
"1095",0.525554976400039,0.28243224872048,1.55417337111984,-0.686616174986209,3.36342567760421,TRUE,TRUE,250
"1096",0.522750399645869,0.284195165899577,1.55277974998351,-0.68649218762077,3.35797839410674,TRUE,TRUE,250
"1097",0.520464924889052,0.276244946941317,1.5432404335151,-0.68120484541956,3.34326326797329,TRUE,TRUE,250
"1098",0.530003156682354,0.268781660585177,1.54556375976329,-0.641348161803897,3.35856062841278,TRUE,TRUE,250
"1099",0.538418090235133,0.271984195380337,1.56134946603876,-0.659860209042937,3.39260289680137,TRUE,TRUE,250
"11",0.496187190293456,0.261902088124005,1.53180178032146,-0.692182505963385,3.29365128497038,TRUE,TRUE,250
"110",0.535250828482182,0.25558720526176,1.52619948049404,-0.637375991739981,3.33124634711843,TRUE,TRUE,250
"1100",0.545697435617988,0.273589131243759,1.56742995902939,-0.654168514597541,3.416309354147,TRUE,TRUE,250
"1101",0.552820861819863,0.254576537012532,1.57992215681562,-0.656624627534952,3.44445887985719,TRUE,TRUE,250
"1102",0.555945738793861,0.252184315952916,1.57987223774359,-0.664665855800423,3.4451774421808,TRUE,TRUE,250
"1103",0.555269040482157,0.243104664076063,1.58101985439688,-0.688697871325317,3.43757612556428,TRUE,TRUE,250
"1104",0.546421707467731,0.237129723610998,1.58264926071236,-0.699202995567969,3.4265962422351,TRUE,TRUE,250
"1105",0.531286051666505,0.2531023444755,1.58656109904495,-0.708529158385638,3.40656385888229,TRUE,TRUE,250
"1106",0.529280010541418,0.238394699492313,1.58745901330566,-0.70771788815823,3.40962895581436,TRUE,TRUE,250
"1107",0.536095221902835,0.242017929193195,1.58433862068026,-0.686869878909025,3.41456430920479,TRUE,TRUE,250
"1108",0.533612821494153,0.250438736684931,1.5718676000708,-0.677062663822661,3.39395928589121,TRUE,TRUE,250
"1109",0.538070915664814,0.24643792374317,1.56183524607982,-0.633902874857527,3.38893231640272,TRUE,TRUE,250
"111",0.528402840186101,0.246376487943016,1.52287405490546,-0.627828423445977,3.32489355439686,TRUE,TRUE,250
"1110",0.549218246981634,0.248115099143071,1.5620252765043,-0.623048372101341,3.40294613010268,TRUE,TRUE,250
"1111",0.547399999866038,0.249178451313494,1.55932479456723,-0.627530983396054,3.40220229368563,TRUE,TRUE,250
"1112",0.561775092535537,0.251028475527239,1.55982502823887,-0.594992512871511,3.4205245966349,TRUE,TRUE,250
"1113",0.56582873769737,0.243197925912882,1.55646505755216,-0.606868348649249,3.42169163553862,TRUE,TRUE,250
"1114",0.56131985686798,0.24311472711126,1.55791805390229,-0.591142172207446,3.41849393567334,TRUE,TRUE,250
"1115",0.562979844986171,0.238090203338878,1.549184716985,-0.58976148989656,3.40908495684153,TRUE,TRUE,250
"1116",0.550424529841324,0.247756631722755,1.53668768153169,-0.591679673591817,3.37470119550628,TRUE,TRUE,250
"1117",0.551758691645834,0.242106863689472,1.53656107008273,-0.596658006353633,3.37774234479528,TRUE,TRUE,250
"1118",0.557688716017765,0.247401955285958,1.54519769066575,-0.587519402782774,3.39510182574494,TRUE,TRUE,250
"1119",0.573875062966903,0.233580367949708,1.54995047678184,-0.572279609229136,3.4175967434858,TRUE,TRUE,250
"112",0.535381847655881,0.234870097258873,1.52850327610171,-0.638795969601184,3.33908291731522,TRUE,TRUE,250
"1120",0.569812929909046,0.229687772352193,1.55030603950021,-0.571131332345752,3.41949492686757,TRUE,TRUE,250
"1121",0.568235312057365,0.222133973637404,1.54124396884096,-0.578618386075741,3.39296896079099,TRUE,TRUE,250
"1122",0.564823962628641,0.222029875974533,1.5443286873559,-0.58771002522521,3.39094477891089,TRUE,TRUE,250
"1123",0.558886337607912,0.229815640887853,1.55052459528274,-0.593062354509766,3.39264919297371,TRUE,TRUE,250
"1124",0.544087274702473,0.210184983541767,1.55131942404578,-0.613229639334579,3.38571343873883,TRUE,TRUE,250
"1125",0.532982965611514,0.21152411666177,1.53568833353858,-0.613967875856792,3.35365708492137,TRUE,TRUE,250
"1126",0.523160459483259,0.204504725271146,1.53469896839021,-0.632015493290346,3.339197255423,TRUE,TRUE,250
"1127",0.512783796458871,0.213131594949672,1.53687961552902,-0.654921803597184,3.33169263993032,TRUE,TRUE,250
"1128",0.509076157527307,0.229665742538699,1.52882501339061,-0.666592991115256,3.31248567864758,TRUE,TRUE,250
"1129",0.510059926945098,0.23888493465236,1.53928777340659,-0.676883171998717,3.33450608271985,TRUE,TRUE,250
"113",0.526548610992606,0.232429801600699,1.51946856163562,-0.656288386538939,3.30541316250842,TRUE,TRUE,250
"1130",0.519467181412152,0.235199407847694,1.53648213904874,-0.660111992092532,3.3391790072966,TRUE,TRUE,250
"1131",0.522222637923442,0.242046788788717,1.54722003131851,-0.664588709094999,3.36227754594117,TRUE,TRUE,250
"1132",0.519701153457038,0.244233412644721,1.54533814345991,-0.68341658959294,3.35930528128262,TRUE,TRUE,250
"1133",0.514553200122971,0.238053322866139,1.54562833082196,-0.674092120992728,3.35508007035967,TRUE,TRUE,250
"1134",0.518647375735849,0.242833117861908,1.54266358027747,-0.643553815890437,3.35312277592923,TRUE,TRUE,250
"1135",0.526146060953379,0.236067589885114,1.54396730939573,-0.614329198398687,3.36761866094868,TRUE,TRUE,250
"1136",0.519923162011876,0.256501519056317,1.54528917919827,-0.641940089994147,3.3564149107189,TRUE,TRUE,250
"1137",0.523159810178268,0.257292238189777,1.55937654776956,-0.670104415621397,3.3793924473921,TRUE,TRUE,250
"1138",0.527477689759007,0.243893484865795,1.55440892898382,-0.661924713134147,3.37832006861111,TRUE,TRUE,250
"1139",0.531245288656337,0.240360065917799,1.55407532015104,-0.679993468112559,3.37704235345782,TRUE,TRUE,250
"114",0.531314756545749,0.233734760385725,1.51622004686866,-0.633903430069579,3.30448124265805,TRUE,TRUE,250
"1140",0.518393711229381,0.234017935958045,1.54770072673964,-0.655131138863093,3.35925646586751,TRUE,TRUE,250
"1141",0.521497977895875,0.228128200470458,1.55867040833111,-0.656258094991653,3.38621586397821,TRUE,TRUE,250
"1142",0.53227067636956,0.22790689202326,1.55947318261403,-0.651515876561826,3.39585751054611,TRUE,TRUE,250
"1143",0.54288563228688,0.228880847800566,1.55116457625752,-0.63068612067591,3.39532849643915,TRUE,TRUE,250
"1144",0.540035953115899,0.231926543332026,1.5536591106268,-0.657643921788995,3.39338021379866,TRUE,TRUE,250
"1145",0.537787320524267,0.222630160457031,1.55603179457295,-0.640685413091433,3.39797548359096,TRUE,TRUE,250
"1146",0.557585796310049,0.222745755784316,1.56293046884689,-0.614592757833933,3.43011702555038,TRUE,TRUE,250
"1147",0.551152534099371,0.225009334125921,1.56193340124507,-0.587431338068118,3.42866317611016,TRUE,TRUE,250
"1148",0.547963963828275,0.234624299173726,1.55612724876674,-0.587646776241716,3.41602366863172,TRUE,TRUE,250
