"param_name","mean_beta_int_avg","mean_beta_int_sd","overall_sd_beta_int","lower_ci_avg","upper_ci_avg","heterogeneity","linearity","sample_size"
"beta_int_19",0.00258921845840896,0.0471208002464724,0.19749635660146,-0.3699491155096,0.349546301886185,FALSE,TRUE,250
"beta_int_2",0.0154091470573397,0.0422567809012997,0.189887669572923,-0.317730787895336,0.381264267418003,FALSE,TRUE,250
"beta_int_20",0.0176109762884655,0.0434336198167973,0.202988758752933,-0.348186633111605,0.410774654879968,FALSE,TRUE,250
"beta_int_21",0.0154777650622865,0.0495648714067075,0.20315710731968,-0.345952673708992,0.411349007615084,FALSE,TRUE,250
"beta_int_22",0.0011813561270744,0.046520549895223,0.206030221123556,-0.398902079422813,0.370974132406258,FALSE,TRUE,250
"beta_int_23",0.00206734310220301,0.0397475919540891,0.195062639090416,-0.361216459411699,0.346201006610647,FALSE,TRUE,250
"beta_int_24",0.00580092254468078,0.0390722206877566,0.198122562715576,-0.377649758961705,0.354366577121744,FALSE,TRUE,250
"beta_int_25",0.00433314471021282,0.0437964005532107,0.20481806896882,-0.382425035493458,0.357017464201633,FALSE,TRUE,250
"beta_int_26",0.0104764083866119,0.0416177532567251,0.206014807584751,-0.358433822176447,0.393969121229981,FALSE,TRUE,250
"beta_int_27",0.00124337941487191,0.0462056900666614,0.20146594268271,-0.38262788086097,0.356079651211092,FALSE,TRUE,250
"beta_int_28",0.00435752527981595,0.0327071894464456,0.18917669562626,-0.351147478358529,0.351648921085664,FALSE,TRUE,250
"beta_int_3",0.00896857235548756,0.0376159832867714,0.188082852507504,-0.341298567197122,0.360668692760861,FALSE,TRUE,250
"beta_int_4",0.00334585317784561,0.0434366305992947,0.2015919198043,-0.37650309310673,0.380462988384968,FALSE,TRUE,250
"beta_int_5",0.00800449166104394,0.0476540407692321,0.195612677872302,-0.346560177465731,0.374592399201038,FALSE,TRUE,250
"beta_int_6",0.0067673361999929,0.0402122525249361,0.182057517977618,-0.337070114222544,0.346855672029533,FALSE,TRUE,250
"beta_int_7",0.0105401812949461,0.0358991733470312,0.191881967254652,-0.325717307443535,0.378216533475864,FALSE,TRUE,250
"beta_int_8",0.00218552779875983,0.0419280822601421,0.189147659410777,-0.340690345592343,0.358505782426112,FALSE,TRUE,250
"beta_int_9",0.00403460107295759,0.0458185435260942,0.194359565773162,-0.357675778057454,0.353243404904333,FALSE,TRUE,250
NA,0.00807947766819192,0.0442565636016796,0.195520330098809,-0.348226430403358,0.373652768732817,FALSE,TRUE,250
"beta_int_1",0.0103389835921611,0.0428981296772437,0.142514608697973,-0.252055157135634,0.270673419159489,FALSE,TRUE,500
"beta_int_10",0.00866302683212849,0.0401734534707628,0.144909496348094,-0.246154671394951,0.28426412277369,FALSE,TRUE,500
"beta_int_11",0.0104110431446473,0.0370702849067787,0.148832921950155,-0.245961627769554,0.313385135782978,FALSE,TRUE,500
"beta_int_12",0.0143489231606288,0.0376247342290254,0.137464096486741,-0.219064789174296,0.289615394068905,FALSE,TRUE,500
"beta_int_13",0.00872780391497085,0.0362064861711302,0.142047196256814,-0.24901339399031,0.28498891433896,FALSE,TRUE,500
"beta_int_14",0.0190477362786567,0.0418537235043435,0.157876070329692,-0.235000576066957,0.343345303319286,FALSE,TRUE,500
"beta_int_15",0.00808549188544573,0.0401639549960516,0.139466311648435,-0.233791809172482,0.283694338191406,FALSE,TRUE,500
"beta_int_16",0.0124969518979501,0.0384983668420347,0.137967584022713,-0.226102778838322,0.280658068937836,FALSE,TRUE,500
"beta_int_17",0.00497316352563309,0.0314778256169999,0.137268228069791,-0.240497114869415,0.274950107741667,FALSE,TRUE,500
"beta_int_18",0.00748920815734425,0.0351254217516716,0.149612688312964,-0.263355744829508,0.297917395400123,FALSE,TRUE,500
"beta_int_19",0.00623413595995372,0.034208345735288,0.14708617240268,-0.263058822669391,0.289397168246116,FALSE,TRUE,500
"beta_int_2",0.0129112803181967,0.0377123251561262,0.141274498243762,-0.245305278348211,0.283334303028345,FALSE,TRUE,500
"beta_int_20",0.00666010948775484,0.0365351860096666,0.146381156149161,-0.267979714846105,0.283729229760797,FALSE,TRUE,500
"beta_int_21",0.00416657191828728,0.0401638336437169,0.14434883880417,-0.263292612706632,0.261072561210373,FALSE,TRUE,500
"beta_int_22",0.00167396389190855,0.0435450517157574,0.142463064222774,-0.266090988441554,0.252376392296059,FALSE,TRUE,500
"beta_int_23",0.0120718771908404,0.0403943547771374,0.147740411908665,-0.245819987407469,0.297306148365045,FALSE,TRUE,500
"beta_int_24",0.003394867369523,0.055326732173728,0.157337613981721,-0.306532317056065,0.278656575247909,FALSE,TRUE,500
"beta_int_25",0.0025153600572916,0.0389393701831234,0.154567761752792,-0.291983562733468,0.287799579760991,FALSE,TRUE,500
"beta_int_26",0.00985819366742715,0.0393223380510434,0.176620793276874,-0.294854605284826,0.331850902305108,FALSE,TRUE,500
"beta_int_27",0.00556935206898065,0.0448082294877287,0.169609118348526,-0.289149652066312,0.317242390648952,FALSE,TRUE,500
"beta_int_28",0.00403909543913204,0.0518049352773231,0.146651729272547,-0.266347060355904,0.275436674361384,FALSE,TRUE,500
"beta_int_3",0.0049771253582171,0.0333870538898958,0.148715330034694,-0.275979292924658,0.273204865009129,FALSE,TRUE,500
"beta_int_4",0.0058154444204515,0.0295472781093275,0.142708611606239,-0.266509484375749,0.274124671392733,FALSE,TRUE,500
"beta_int_5",0.00600520104420443,0.0270512596582704,0.139565536572925,-0.252798105101809,0.264831086246186,FALSE,TRUE,500
"beta_int_6",0.00944222056543475,0.0442740564505968,0.141478175554714,-0.250639523316229,0.270961893910194,FALSE,TRUE,500
"beta_int_7",0.00793223143620964,0.035065996520233,0.147911384975187,-0.26816383518997,0.264110261575348,FALSE,TRUE,500
"beta_int_8",0.0154106088423302,0.0356150704018217,0.131757640233482,-0.2218821849944,0.261885724668722,FALSE,TRUE,500
"beta_int_9",0.0144543296204783,0.0381948024468464,0.144343362163878,-0.231717468564571,0.295794101337459,FALSE,TRUE,500
NA,0.00612795083047354,0.0340778365734695,0.145081058194967,-0.256799419916632,0.278088553073426,FALSE,TRUE,500
"beta_int_1",0.00773665650672718,0.0442715026547584,0.21770480049462,-0.398603421969533,0.40782071878842,FALSE,FALSE,250
"beta_int_10",0.011304556632962,0.0523158599114632,0.238040535510519,-0.426046095778683,0.463436207059861,FALSE,FALSE,250
"beta_int_11",0.00928178938556846,0.0548926690156333,0.206032383130764,-0.364165616289822,0.412307732724553,FALSE,FALSE,250
"beta_int_12",0.0206020372888552,0.0368877831903884,0.21258621736189,-0.348163474590987,0.446032858660372,FALSE,FALSE,250
"beta_int_13",0.0124939024467996,0.0450518678053334,0.21382727759066,-0.382902736797231,0.426586278723668,FALSE,FALSE,250
"beta_int_14",0.0164038423856416,0.0460045201303823,0.213511480537081,-0.368447017051397,0.429931626347001,FALSE,FALSE,250
"beta_int_15",0.0167255862881362,0.05789757027547,0.250252791887317,-0.410124618331775,0.50100410027235,FALSE,FALSE,250
"beta_int_16",0.011874124998395,0.0375269840905087,0.209237842499359,-0.364885292145683,0.418311297072411,FALSE,FALSE,250
"beta_int_17",0.0111249472946293,0.0451719464603241,0.222613466394215,-0.389742745938581,0.441873515203666,FALSE,FALSE,250
"beta_int_18",0.014738532337042,0.0357272474954494,0.217612738762731,-0.377349725829632,0.43086496650202,FALSE,FALSE,250
"beta_int_19",0.0190774051786123,0.0441884368119582,0.227022656499433,-0.36983777138625,0.486815775489466,FALSE,FALSE,250
"beta_int_2",0.00614415181929344,0.061814197646771,0.249024760189579,-0.472053851499986,0.422230457638581,FALSE,FALSE,250
"beta_int_20",0.00661215311882122,0.041160604108688,0.223414588372366,-0.404624317727817,0.432722014470079,FALSE,FALSE,250
"beta_int_21",0.0107051256418539,0.0363608789234813,0.215454641721333,-0.387805987726008,0.423804002958624,FALSE,FALSE,250
"beta_int_22",0.00467265675072654,0.0403387498794033,0.212236082706556,-0.368872249286052,0.411838206392449,FALSE,FALSE,250
"beta_int_23",0.0209434857709596,0.0488969599886457,0.220928819259329,-0.361442074357901,0.457169040984215,FALSE,FALSE,250
"beta_int_24",0.00949843153586492,0.0418137081535211,0.210574982589005,-0.368785022458048,0.415617145365183,FALSE,FALSE,250
"beta_int_25",0.00740736490227256,0.0371228548991092,0.216455757135843,-0.37954915752809,0.429690023571155,FALSE,FALSE,250
"beta_int_26",0.0111838245866798,0.0528468725427469,0.227934934711293,-0.392985185642092,0.455321799673044,FALSE,FALSE,250
"beta_int_27",0.00995182423859515,0.0448014042639855,0.210204897792475,-0.357567858182084,0.411668225220164,FALSE,FALSE,250
"beta_int_28",0.00795157525481719,0.0478903395421975,0.208232912270987,-0.365680800682049,0.404389696135776,FALSE,FALSE,250
"beta_int_3",0.00662766311133752,0.0413658768844885,0.229249941243657,-0.413337121641097,0.439789764608446,FALSE,FALSE,250
"beta_int_4",0.0083433198439065,0.0430588937858818,0.222885155495337,-0.411790502940651,0.423692398772248,FALSE,FALSE,250
"beta_int_5",0.00882033865465142,0.0359932693714608,0.216630370572864,-0.401818400642596,0.418232605201546,FALSE,FALSE,250
"beta_int_6",0.0106987945905322,0.0365678428162912,0.233569010535641,-0.403834114898847,0.475501162984641,FALSE,FALSE,250
"beta_int_7",0.0133045793586446,0.0336690974408667,0.230243957393376,-0.393814182160218,0.462135128371005,FALSE,FALSE,250
"beta_int_8",-0.00209042718901441,0.0490371927468504,0.221625764033275,-0.424776278508346,0.398132775935961,FALSE,FALSE,250
"beta_int_9",0.00408062589777522,0.0414641327897161,0.22818699097614,-0.422203186830516,0.437214864067604,FALSE,FALSE,250
NA,0.010100067846133,0.0433008231458228,0.193806379288358,-0.345062158022718,0.372275481921884,FALSE,FALSE,250
"beta_int_1",0.0119673830187327,0.0523165966548747,0.187817545063856,-0.317720877041026,0.380553232594557,FALSE,FALSE,500
"beta_int_10",0.00138224224574765,0.0423468537150126,0.173017963831337,-0.31428272624489,0.322643359124794,FALSE,FALSE,500
"beta_int_11",-0.000809881727499097,0.0337507515196978,0.166457819054392,-0.314692641147239,0.310601510745902,FALSE,FALSE,500
"beta_int_12",0.00450779805236155,0.0416424801210699,0.190050315542674,-0.341994591272771,0.377302157468231,FALSE,FALSE,500
"beta_int_13",0.000812851632564023,0.0385408586568987,0.193829325648915,-0.3745647378244,0.350960600813668,FALSE,FALSE,500
"beta_int_14",0.00793559935143711,0.0335187752837885,0.164083604490623,-0.306063151354235,0.307743076386399,FALSE,FALSE,500
"beta_int_15",0.00180327526197209,0.0321513511264711,0.181206851194607,-0.338662566423046,0.339536851940969,FALSE,FALSE,500
"beta_int_16",-0.00109849881671675,0.0367964047476475,0.178822219031961,-0.345102077319988,0.321903737119611,FALSE,FALSE,500
"beta_int_17",0.00396932560436792,0.0428609318341822,0.187318902925535,-0.342424105058682,0.356230203524014,FALSE,FALSE,500
"beta_int_18",0.00923459069460342,0.0411741578477698,0.177526437336673,-0.294171925513013,0.356989681451017,FALSE,FALSE,500
"beta_int_19",0.0124233209154424,0.0405634109542559,0.178146277756643,-0.314263161259433,0.348839094505932,FALSE,FALSE,500
"beta_int_2",0.00546949645008052,0.0341256927722739,0.186634966459351,-0.33329912819131,0.344102891976045,FALSE,FALSE,500
"beta_int_20",0.018744902311182,0.0434596554666299,0.179806933530084,-0.289432752973678,0.381549157801452,FALSE,FALSE,500
"beta_int_21",0.0149351355994695,0.039785345932393,0.184871995191958,-0.31975616763149,0.368023926342696,FALSE,FALSE,500
"beta_int_22",0.0189795145801645,0.0405898109129267,0.171599795003802,-0.28473425258742,0.349590524146335,FALSE,FALSE,500
"beta_int_23",0.0110389287659958,0.0357062410997202,0.168696279516199,-0.297206969342582,0.333904567076375,FALSE,FALSE,500
